Purchase Doc.Num.,Cal. Year/Month,Agreement No Purchas,Automation flag,Direct/Indirect,Material PO text,Material group,Mat.gr.Hier.lvl 1,Material,Vendor,Purchasing group,Catalog Type Ind.,Purchasing doc. type,Company Code,Country of Plant,Counter PO Items,PO Value in Target Currency,PO Net Value in Target Currency,PO Quantity,,,,,,,,,,,,,,,244
P1/2414544069,1.2023,Not assigned,#,I,1#t assigned9i,25130200,01_TGS,#,7200787,TCI,#,YK,1554,PR of China,1,"5,374.42","5,374.42",1 AU,,,,,,,,,,,,,,,
P1/2414544804,1.2023,4600003174,#,I,2023 ASUN PUD BULK ONSITE CLEANING FEE,25041203,01_TGS,#,6092138,TCI,#,YK,1554,PR of China,1,"7,638.32","6,759.58",1 AU,,,,,,,,,,,,,,,
P1/2414544829,1.2023,4600016944,X,D,"2-HYDROXY ETHYL ACRYLATE 0200,00 KG DR01",97060245,01_IAP,397041,11348508,TWD,#,NB,1105,Taiwan,1,"50,622.48","50,622.48","16,000 KG",,,,,,,,,,,,,,,
P1/2414544831,1.2023,4600016979,X,D,"HYPO-PHOSPHOROUS ACID, 50%",97152520,01_IAP,441229,11348568,TWD,#,NB,1105,Taiwan,1,"26,021.81","24,782.67","1,800 KG",,,,,,,,,,,,,,,
P1/2414544838,1.2023,Not assigned,#,I,"ELEMENT,ZSK177SC,240/240-36",36130100,01_TGS,40282075,5024844,TTI,#,NB,422,Thailand,1,"12,907.47","10,943.43",7 PCE,,,,,,,,,,,,,,,
P1/2414544900,1.2023,Not assigned,#,I,BICYCLE INSPECTION AND REPAIR 2023,22110700,01_TGS,#,7522831,TCI,#,FO,1554,PR of China,1,"12,562.05","12,562.05",1 AU,,,,,,,,,,,,,,,
P1/2414544903,1.2023,Not assigned,#,I,STEP LADDER 2023 CPM,22110700,01_TGS,#,7522831,TCI,#,FO,1554,PR of China,1,"1,081.53","1,081.53",1 AU,,,,,,,,,,,,,,,
P1/2414544903,1.2023,Not assigned,#,I,STEP LADDER 2023 PM,22110700,01_TGS,#,7522831,TCI,#,FO,1554,PR of China,1,"2,871.33","2,871.33",1 AU,,,,,,,,,,,,,,,
P1/2414546417,1.2023,4600016946,X,D,ACETONE,39021201,01_STC,442489,1618107,TWD,#,NB,1105,Taiwan,1,"3,424.61","3,261.54","3,200 KG",,,,,,,,,,,,,,,
P1/2414546429,1.2023,Not assigned,#,D,"SODIUM SULPHATE ANHYDROU 0030,00 KG BG01",38030405,#,441849,11348533,TWD,#,NB,1105,Taiwan,1,648.6,648.6,"1,500 KG",,,,,,,,,,,,,,,
P1/2414546513,1.2023,4600016906,#,D,"A425 BENZOFLEX 9-88           0225,00 KG",97113442,01_IAP,443175,11348368,TCF,#,NB,1175,PR of China,1,"16,638.60","16,638.60","5,175 KG",,,,,,,,,,,,,,,
P1/2414546579,1.2023,4600018603,X,D,"AROMINA 100              0000,00 KG T01",97083360,01_IAP,444031,11348202,TCF,#,NB,1175,PR of China,1,"21,353.70","21,353.70","20,000 KG",,,,,,,,,,,,,,,
P1/2414546644,1.2023,Not assigned,#,I,CA85RW100ned4 ,27020000,01_TGS,#,11275591,TCI,#,YK,1554,PR of China,1,"2,685.70","2,685.70",1 AU,,,,,,,,,,,,,,,
P1/2414546644,1.2023,Not assigned,#,I,DS80RW200ned4 ,27020000,01_TGS,#,11275591,TCI,#,YK,1554,PR of China,1,"5,422.31","5,422.31",1 AU,,,,,,,,,,,,,,,
P1/2414546693,1.2023,Not assigned,#,I,?Q47761,36419900,01_TGS,#,7410626,TCI,#,YK,1554,PR of China,1,"5,581.08","5,581.08",1 AU,,,,,,,,,,,,,,,
P1/2414547925,1.2023,4600011375,X,I,C537 11375925       ,22280000,01_TGS,#,7458770,TCI,#,YK,1554,PR of China,1,218.55,218.55,1 AU,,,,,,,,,,,,,,,
P1/2414547959,1.2023,4600011443,X,I,IOBC_B306 959           ,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,336.44,336.44,1 AU,,,,,,,,,,,,,,,
P1/2414547993,1.2023,Not assigned,#,#,FY2022 TPD SUPPORT,98200302,01_BSP,#,7750898,TCI,#,YK,1554,PR of China,1,"16,411.54","16,411.54",1 AU,,,,,,,,,,,,,,,
P1/2414547997,1.2023,Not assigned,#,#,FY2022 TPD SUPPORT FOR 1848,98200302,01_BSP,#,7750898,TCS,#,YK,1848,PR of China,1,"16,411.54","16,411.54",1 AU,,,,,,,,,,,,,,,
P1/2414548000,1.2023,Not assigned,#,I,2023assigned0PPORT ,21000000,01_TGS,#,11348682,TWI,#,FO,1105,Taiwan,1,"4,614.07","4,614.07",200 EA,,,,,,,,,,,,,,,
P1/2414548058,1.2023,4600016946,X,D,TOLUENE,39011102,01_STC,442039,1618107,TWD,#,NB,1105,Taiwan,1,"3,999.85","3,809.38","3,440 KG",,,,,,,,,,,,,,,
P1/2414548061,1.2023,4600011443,X,I,B284 0M443061PPORT ,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,207.88,207.88,1 AU,,,,,,,,,,,,,,,
